Órgão;Unidade;Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (P);Liquidado;Pago (P);P/E
"Camara da Cidade do Paulista";;;;;;13.150.000,00;13.839.000,00;0,00;0,00;0,00;0,00
;"CAMARA MUNICIPAL DO PAULISTA   ADMINISTRACAO DIRETA";;;;;13.150.000,00;13.839.000,00;0,00;0,00;0,00;0,00
;;"DESPESAS CORRENTES";;;;13.075.000,00;13.821.000,00;0,00;0,00;0,00;0,00
;;;"OUTRAS DESPESAS CORRENTES";;;1.577.300,00;1.959.200,00;0,00;0,00;0,00;0,00
;;;;"Despesas de Exercicios Anteriores";;5.000,00;5.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;5.000,00;0,00;0,00;0,00;0,00
;;;;"Diarias   Civil";;255.000,00;10.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";255.000,00;10.000,00;0,00;0,00;0,00;0,00
;;;;"Indenizacoes e Restituicoes";;115.200,00;115.200,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";115.200,00;115.200,00;0,00;0,00;0,00;0,00
;;;;"Material de Consumo";;135.000,00;2.100,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";135.000,00;2.100,00;0,00;0,00;0,00;0,00
;;;;"Outros Beneficios Assistenciais";;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;5.000,00;2.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;2.000,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;980.100,00;1.814.900,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";980.100,00;1.814.900,00;0,00;0,00;0,00;0,00
;;;;"Servicos de Consultoria";;72.000,00;10.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";72.000,00;10.000,00;0,00;0,00;0,00;0,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;11.497.700,00;11.861.800,00;0,00;0,00;0,00;0,00
;;;;"Contribuicoes Patronais  19  I ";;2.222.100,00;2.181.400,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";750.000,00;672.400,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.472.100,00;1.509.000,00;0,00;0,00;0,00;0,00
;;;;"Outras Despesas Variaveis   Pessoal Civil";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Sentencas Judiciais";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;9.265.600,00;9.680.400,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";9.265.600,00;9.680.400,00;0,00;0,00;0,00;0,00
;;"DESPESAS DE CAPITAL";;;;75.000,00;18.000,00;0,00;0,00;0,00;0,00
;;;"INVESTIMENTOS";;;75.000,00;18.000,00;0,00;0,00;0,00;0,00
;;;;"Equipamentos e Material Permanente";;30.000,00;18.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";30.000,00;18.000,00;0,00;0,00;0,00;0,00
;;;;"Obras e Instalacoes";;45.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";45.000,00;0,00;0,00;0,00;0,00;0,00
"Conselho Municipal dos Direitos da Crianca e do Adolecente da Cidade do Paulista";;;;;;1.436.000,00;1.805.210,00;1.760.469,02;1.201.703,50;1.199.613,50;68,14
;"CONSELHO FUNDO MUNICIPAL DA CRIANCA E DO ADOLESCENTE";;;;;1.436.000,00;1.805.210,00;1.760.469,02;1.201.703,50;1.199.613,50;68,14
;;"DESPESAS CORRENTES";;;;1.432.300,00;1.750.730,00;1.706.235,79;1.147.470,27;1.145.380,27;67,13
;;;"OUTRAS DESPESAS CORRENTES";;;1.432.300,00;1.750.730,00;1.706.235,79;1.147.470,27;1.145.380,27;67,13
;;;;"Diarias   Civil";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Indenizacoes e Restituicoes";;2.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";2.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Material de Consumo";;30.000,00;14.390,00;14.389,71;14.389,71;14.389,71;100,00
;;;;;"SEM APLICACAO";30.000,00;14.390,00;14.389,71;14.389,71;14.389,71;100,00
;;;;"Obrigacoes Tributarias e Contributivas";;800,00;1.030,00;1.029,61;1.029,61;1.029,61;100,00
;;;;;"SEM APLICACAO";800,00;1.030,00;1.029,61;1.029,61;1.029,61;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;4.000,00;9.090,00;9.083,33;9.083,33;9.083,33;100,00
;;;;;"SEM APLICACAO";4.000,00;9.090,00;9.083,33;9.083,33;9.083,33;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;490.000,00;446.330,00;446.322,57;222.079,72;219.989,72;49,29
;;;;;"SEM APLICACAO";490.000,00;446.330,00;446.322,57;222.079,72;219.989,72;49,29
;;;;"Passagens e Despesas com Locomocao";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Servicos de Consultoria";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Subvencoes Sociais";;902.500,00;1.279.890,00;1.235.410,57;900.887,90;900.887,90;72,92
;;;;;"SEM APLICACAO";902.500,00;1.279.890,00;1.235.410,57;900.887,90;900.887,90;72,92
;;"DESPESAS DE CAPITAL";;;;3.700,00;54.480,00;54.233,23;54.233,23;54.233,23;100,00
;;;"INVESTIMENTOS";;;3.700,00;54.480,00;54.233,23;54.233,23;54.233,23;100,00
;;;;"Equipamentos e Material Permanente";;3.700,00;54.480,00;54.233,23;54.233,23;54.233,23;100,00
;;;;;"SEM APLICACAO";3.700,00;54.480,00;54.233,23;54.233,23;54.233,23;100,00
"Fundo de Saude da Cidade do Paulista";;;;;;89.760.800,00;95.380.690,00;90.394.097,01;85.779.962,73;78.761.179,29;87,13
;"FUNDO MUNICIPAL DE SAUDE";;;;;89.757.800,00;95.380.610,00;90.394.097,01;85.779.962,73;78.761.179,29;87,13
;;"DESPESAS CORRENTES";;;;88.855.300,00;94.082.250,00;89.278.091,54;84.894.789,67;77.909.185,99;87,27
;;;"OUTRAS DESPESAS CORRENTES";;;31.738.500,00;35.954.680,00;33.534.253,02;29.150.951,15;26.966.486,67;80,41
;;;;"Auxilio Transporte";;2.630.000,00;2.257.560,00;2.257.456,80;2.257.456,80;2.049.564,80;90,79
;;;;;"SEM APLICACAO";2.630.000,00;2.257.560,00;2.257.456,80;2.257.456,80;2.049.564,80;90,79
;;;;"Despesas de Exercicios Anteriores";;218.800,00;885.900,00;827.800,54;771.483,66;771.483,66;93,20
;;;;;"SEM APLICACAO";218.800,00;885.900,00;827.800,54;771.483,66;771.483,66;93,20
;;;;"Diarias   Civil";;43.000,00;12.000,00;5.910,00;5.910,00;5.910,00;100,00
;;;;;"SEM APLICACAO";43.000,00;12.000,00;5.910,00;5.910,00;5.910,00;100,00
;;;;"Indenizacoes e Restituicoes";;10.000,00;622.030,00;593.977,78;593.977,78;593.977,78;100,00
;;;;;"SEM APLICACAO";10.000,00;622.030,00;593.977,78;593.977,78;593.977,78;100,00
;;;;"Locacao de Mao de Obra";;2.110.000,00;2.655.000,00;2.412.208,29;2.207.320,56;2.207.320,56;91,51
;;;;;"SEM APLICACAO";2.110.000,00;2.655.000,00;2.412.208,29;2.207.320,56;2.207.320,56;91,51
;;;;"Material de Consumo";;7.761.000,00;11.299.730,00;10.618.344,35;7.934.223,55;6.199.271,01;58,38
;;;;;"SEM APLICACAO";7.761.000,00;11.299.730,00;10.618.344,35;7.934.223,55;6.199.271,01;58,38
;;;;"Obrigacoes Tributarias e Contributivas";;10.000,00;14.400,00;14.292,02;14.292,02;14.292,02;100,00
;;;;;"SEM APLICACAO";10.000,00;14.400,00;14.292,02;14.292,02;14.292,02;100,00
;;;;"Outros Auxilios Financeiros a Pessoas Fisicas";;1.085.000,00;873.800,00;873.344,80;873.344,80;873.344,80;100,00
;;;;;"SEM APLICACAO";1.085.000,00;873.800,00;873.344,80;873.344,80;873.344,80;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;379.000,00;373.600,00;362.702,48;362.405,27;332.254,89;91,61
;;;;;"SEM APLICACAO";379.000,00;373.600,00;362.702,48;362.405,27;332.254,89;91,61
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;17.420.300,00;16.924.730,00;15.557.334,37;14.119.655,12;13.908.185,56;89,40
;;;;;"SEM APLICACAO";17.420.300,00;16.924.730,00;15.557.334,37;14.119.655,12;13.908.185,56;89,40
;;;;"Passagens e Despesas com Locomocao";;71.400,00;35.930,00;10.881,59;10.881,59;10.881,59;100,00
;;;;;"SEM APLICACAO";71.400,00;35.930,00;10.881,59;10.881,59;10.881,59;100,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;57.116.800,00;58.127.570,00;55.743.838,52;55.743.838,52;50.942.699,32;91,39
