Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (E);Liquidado;Pago (P)
"DESPESAS CORRENTES";;;;396.451.000,00;570.210.545,69;419.393.255,99;392.845.103,88;355.571.836,82
;"PESSOAL E ENCARGOS SOCIAIS";;;254.823.300,00;367.782.249,96;255.919.838,27;253.145.111,90;231.741.944,25
;;"Aposentadorias e Reformas";;42.186.900,00;44.414.266,15;44.183.197,87;44.183.197,87;40.495.292,46
;;;"Aposentadorias e Reformas";42.186.900,00;44.414.266,15;44.183.197,87;44.183.197,87;40.495.292,46
;;"Pensoes";;6.928.700,00;8.612.701,95;8.368.296,26;8.368.296,26;7.755.339,47
;;;"Pensoes";6.928.700,00;8.612.701,95;8.368.296,26;8.368.296,26;7.755.339,47
;;"Contratacao por Tempo Determinado";;22.605.700,00;36.993.648,50;21.274.482,00;21.274.462,96;19.576.772,50
;;;"Contratacao por Tempo Determinado";22.605.700,00;36.993.648,50;21.274.482,00;21.274.462,96;19.576.772,50
;;"Outros Benefic.Previd.Servidor ou Milita";;21.300,00;15.500,00;11.382,09;11.357,43;11.357,43
;;;"Outros Benefic.Previd.Servidor ou Milita";21.300,00;15.500,00;11.382,09;11.357,43;11.357,43
;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;131.050.000,00;197.931.649,90;135.379.198,84;133.234.150,59;123.709.429,97
;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";131.050.000,00;197.931.649,90;135.379.198,84;133.234.150,59;123.709.429,97
;;"Contribuicoes Patronais  19  I ";;34.188.200,00;43.602.599,51;28.001.910,58;27.473.612,58;24.763.088,96
;;;"Contribuicoes Patronais  19  I ";22.802.300,00;26.385.956,97;15.720.599,42;15.274.075,32;13.972.814,88
;;;"Obrigacoes Patronais";11.385.900,00;17.216.642,54;12.281.311,16;12.199.537,26;10.790.274,08
;;"Outras Despesas Variaveis   Pessoal Civil";;14.659.300,00;29.127.000,86;14.347.115,94;14.299.633,41;13.036.197,90
;;;"Outras Despesas Variaveis   Pessoal Civil";14.659.300,00;29.127.000,86;14.347.115,94;14.299.633,41;13.036.197,90
;;"AUXILIO ALIMENTACAO";;0,00;360,00;360,00;360,00;270,00
;;;"AUXILIO ALIMENTACAO";0,00;360,00;360,00;360,00;270,00
