Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (E);Liquidado;Pago (P)
"DESPESAS CORRENTES";;;;544.285.100,00;598.677.885,42;571.814.987,14;554.609.081,90;550.049.671,10
;"PESSOAL E ENCARGOS SOCIAIS";;;328.965.500,00;361.646.470,00;359.685.237,16;355.255.190,82;353.564.500,99
;;"Aposentadorias  Reserva Remunerada e Reformas";;68.293.300,00;76.864.456,00;76.864.423,89;76.864.423,89;76.864.423,89
;;;"Aposentadorias  Reserva Remunerada e Reformas";68.293.300,00;76.864.456,00;76.864.423,89;76.864.423,89;76.864.423,89
;;"Pensoes";;10.340.300,00;10.190.464,00;10.190.436,74;10.190.436,74;10.190.436,74
;;;"Pensoes";10.340.300,00;10.190.464,00;10.190.436,74;10.190.436,74;10.190.436,74
;;"Contratacao por Tempo Determinado";;4.402.000,00;4.259.790,00;4.091.075,16;3.816.307,47;3.559.903,09
;;;"Contratacao por Tempo Determinado";4.402.000,00;4.259.790,00;4.091.075,16;3.816.307,47;3.559.903,09
;;"Outros Benefic.Previd.Servidor ou Milita";;5.000,00;0,00;0,00;0,00;0,00
;;;"Outros Benefic.Previd.Servidor ou Milita";5.000,00;0,00;0,00;0,00;0,00
;;"Outros Beneficios Assistenciais  3  I ";;8.500,00;10.330,00;9.761,00;9.761,00;9.761,00
;;;"Outros Beneficios Assistenciais  3  I ";8.500,00;10.330,00;9.761,00;9.761,00;9.761,00
;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;185.989.600,00;201.633.840,00;200.109.877,87;196.870.936,96;196.750.282,71
;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";185.989.600,00;201.633.840,00;200.109.877,87;196.870.936,96;196.750.282,71
;;"Obrigacoes Patronais";;42.242.100,00;48.178.010,00;48.124.026,53;47.706.073,40;46.664.409,19
;;;"Obrigacoes Patronais";9.158.700,00;8.583.600,00;8.548.042,04;8.130.088,91;7.849.918,76
;;;"Contribuicoes Patronais  19  I ";33.083.400,00;39.594.410,00;39.575.984,49;39.575.984,49;38.814.490,43
;;"Outras Despesas Variaveis   Pessoal Civil";;11.549.400,00;11.103.340,00;10.922.481,65;10.787.252,58;10.784.482,91
;;;"Outras Despesas Variaveis   Pessoal Civil";11.549.400,00;11.103.340,00;10.922.481,65;10.787.252,58;10.784.482,91
;;"Sentencas Judiciais";;4.766.000,00;5.927.520,00;5.926.851,40;5.926.851,40;5.844.530,72
;;;"Sentencas Judiciais";4.766.000,00;5.927.520,00;5.926.851,40;5.926.851,40;5.844.530,72
;;"Despesas de Exercicios Anteriores";;56.000,00;62.070,00;61.949,84;61.949,84;61.949,84
;;;"Despesas de Exercicios Anteriores";56.000,00;62.070,00;61.949,84;61.949,84;61.949,84
;;"Indenizacoes e Restituicoes Trabalhistas";;45.000,00;3.139.760,00;3.134.710,44;2.786.021,64;2.603.666,16
;;;"Indenizacoes e Restituicoes Trabalhistas";45.000,00;3.139.760,00;3.134.710,44;2.786.021,64;2.603.666,16
;;"Ressarcimento de Despesas de Pessoal Requisitado";;1.268.300,00;276.890,00;249.642,64;235.175,90;230.654,74
;;;"Ressarcimento de Despesas de Pessoal Requisitado";1.268.300,00;276.890,00;249.642,64;235.175,90;230.654,74
;"JUROS E ENCARGOS DA DIVIDA";;;3.612.000,00;189.500,00;189.496,43;189.496,43;189.496,43
;;"Juros sobre a Divida por Contrato";;3.151.000,00;0,00;0,00;0,00;0,00
;;;"Juros sobre a Divida por Contrato";3.151.000,00;0,00;0,00;0,00;0,00
;;"Outros Encargos sobre a Divida por Contrato";;5.000,00;0,00;0,00;0,00;0,00
;;;"Outros Encargos sobre a Divida por Contrato";5.000,00;0,00;0,00;0,00;0,00
;;"Encargos sobre Operacoes de Credito por Antecipacao da Receita";;456.000,00;189.500,00;189.496,43;189.496,43;189.496,43
;;;"Encargos sobre Operacoes de Credito por Antecipacao da Receita";456.000,00;189.500,00;189.496,43;189.496,43;189.496,43
;"OUTRAS DESPESAS CORRENTES";;;211.707.600,00;236.841.915,42;211.940.253,55;199.164.394,65;196.295.673,68
;;"Outros Beneficios Assistenciais";;145.000,00;141.480,00;141.272,00;139.194,00;126.654,00
;;;"Outros Beneficios Assistenciais";145.000,00;141.480,00;141.272,00;139.194,00;126.654,00
;;"Diarias   Civil";;358.200,00;20.370,00;10.890,00;10.890,00;10.890,00
;;;"Diarias   Civil";358.200,00;20.370,00;10.890,00;10.890,00;10.890,00
;;"Auxilio Fardamento";;0,00;79.240,00;79.236,00;79.236,00;79.236,00
;;;"Auxilio Fardamento";0,00;79.240,00;79.236,00;79.236,00;79.236,00
;;"Material de Consumo";;22.732.400,00;36.720.874,73;29.260.492,14;28.067.494,69;28.027.889,55
;;;"Material de Consumo";22.732.400,00;36.720.874,73;29.260.492,14;28.067.494,69;28.027.889,55
;;"Premiacoes Culturais  Artisticas  Cientificas  Desportivas e Outras  6  I ";;8.000,00;1.081.520,00;548.941,86;548.941,86;0,00
;;;"Premiacoes Culturais  Artisticas  Cientificas  Desportivas e Outras  6  I ";8.000,00;1.081.520,00;548.941,86;548.941,86;0,00
;;"Material de Distribuicao Gratuita";;5.465.200,00;2.196.531,79;1.647.027,10;1.347.057,10;1.347.057,10
;;;"Material de Distribuicao Gratuita";5.465.200,00;2.196.531,79;1.647.027,10;1.347.057,10;1.347.057,10
;;"Passagens e Despesas com Locomocao";;622.400,00;25.950,00;23.237,18;23.237,18;23.237,18
;;;"Passagens e Despesas com Locomocao";622.400,00;25.950,00;23.237,18;23.237,18;23.237,18
;;"Servicos de Consultoria";;2.674.300,00;18.597.680,00;18.071.880,34;17.996.630,34;17.996.630,34
;;;"Servicos de Consultoria";2.674.300,00;18.597.680,00;18.071.880,34;17.996.630,34;17.996.630,34
;;"Outros Servicos de Terceiros   Pessoa Fisica";;2.066.400,00;1.687.390,00;1.039.991,07;865.180,85;848.752,08
;;;"Outros Servicos de Terceiros   Pessoa Fisica";2.066.400,00;1.687.390,00;1.039.991,07;865.180,85;848.752,08
;;"Locacao de Mao de Obra";;3.449.600,00;3.702.200,00;3.695.066,52;3.614.099,51;3.350.858,39
;;;"Locacao de Mao de Obra";3.449.600,00;3.702.200,00;3.695.066,52;3.614.099,51;3.350.858,39
;;"Outros Servicos de Terceiros   Pessoa Juridica";;148.946.400,00;134.324.674,73;120.072.076,80;110.342.570,54;109.642.708,67
;;;"Outros Servicos de Terceiros   Pessoa Juridica";148.946.400,00;134.324.674,73;120.072.076,80;110.342.570,54;109.642.708,67
;;"Servicos de Tecnologia da Informacao e Comunicacao";;219.000,00;335.960,00;335.950,44;335.950,44;335.950,44
;;;"Servicos de Tecnologia da Informacao e Comunicacao";219.000,00;335.960,00;335.950,44;335.950,44;335.950,44
