Órgão;Unidade;Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (P);Liquidado;Pago (P);P/E
"Camara da Cidade do Paulista";;;;;;12.195.000,00;13.157.300,00;12.859.832,97;12.859.832,97;12.859.832,97;100,00
;"CAMARA MUNICIPAL DO PAULISTA   ADMINISTRACAO DIRETA";;;;;12.195.000,00;13.157.300,00;12.859.832,97;12.859.832,97;12.859.832,97;100,00
;;"DESPESAS CORRENTES";;;;12.085.000,00;13.027.300,00;12.768.395,67;12.768.395,67;12.768.395,67;100,00
;;;"OUTRAS DESPESAS CORRENTES";;;1.566.100,00;1.700.100,00;1.495.302,72;1.495.302,72;1.495.302,72;100,00
;;;;"Despesas de Exercicios Anteriores";;10.500,00;10.500,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.500,00;10.500,00;0,00;0,00;0,00;0,00
;;;;"Diarias   Civil";;340.000,00;214.000,00;194.900,70;194.900,70;194.900,70;100,00
;;;;;"SEM APLICACAO";340.000,00;214.000,00;194.900,70;194.900,70;194.900,70;100,00
;;;;"Indenizacoes e Restituicoes";;110.100,00;116.100,00;115.200,00;115.200,00;115.200,00;100,00
;;;;;"SEM APLICACAO";110.100,00;116.100,00;115.200,00;115.200,00;115.200,00;100,00
;;;;"Material de Consumo";;335.000,00;109.000,00;52.213,73;52.213,73;52.213,73;100,00
;;;;;"SEM APLICACAO";335.000,00;109.000,00;52.213,73;52.213,73;52.213,73;100,00
;;;;"Outros Beneficios Assistenciais";;20.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";20.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;10.000,00;10.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.000,00;10.000,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;740.500,00;1.180.500,00;1.082.988,29;1.082.988,29;1.082.988,29;100,00
;;;;;"SEM APLICACAO";740.500,00;1.180.500,00;1.082.988,29;1.082.988,29;1.082.988,29;100,00
;;;;"Servicos de Consultoria";;0,00;60.000,00;50.000,00;50.000,00;50.000,00;100,00
;;;;;"SEM APLICACAO";0,00;60.000,00;50.000,00;50.000,00;50.000,00;100,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;10.518.900,00;11.327.200,00;11.273.092,95;11.273.092,95;11.273.092,95;100,00
;;;;"Obrigacoes Patronais";;1.713.900,00;2.103.900,00;2.081.350,63;2.081.350,63;2.081.350,63;100,00
;;;;;"SEM APLICACAO";1.203.900,00;1.353.900,00;1.341.296,35;1.341.296,35;1.341.296,35;100,00
;;;;;"SEM APLICACAO";510.000,00;750.000,00;740.054,28;740.054,28;740.054,28;100,00
;;;;"Outras Despesas Variaveis   Pessoal Civil";;20.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";20.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Sentencas Judiciais";;100.000,00;20.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";100.000,00;20.000,00;0,00;0,00;0,00;0,00
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;8.685.000,00;9.203.300,00;9.191.742,32;9.191.742,32;9.191.742,32;100,00
;;;;;"SEM APLICACAO";8.685.000,00;9.203.300,00;9.191.742,32;9.191.742,32;9.191.742,32;100,00
;;"DESPESAS DE CAPITAL";;;;110.000,00;130.000,00;91.437,30;91.437,30;91.437,30;100,00
;;;"INVESTIMENTOS";;;110.000,00;130.000,00;91.437,30;91.437,30;91.437,30;100,00
;;;;"Equipamentos e Material Permanente";;60.000,00;110.000,00;76.457,30;76.457,30;76.457,30;100,00
;;;;;"SEM APLICACAO";60.000,00;110.000,00;76.457,30;76.457,30;76.457,30;100,00
;;;;"Obras e Instalacoes";;50.000,00;20.000,00;14.980,00;14.980,00;14.980,00;100,00
;;;;;"SEM APLICACAO";50.000,00;20.000,00;14.980,00;14.980,00;14.980,00;100,00
"Conselho Municipal dos Direitos da Crianca e do Adolecente da Cidade do Paulista";;;;;;1.436.000,00;2.106.100,00;1.943.256,16;1.098.195,24;1.098.195,24;56,51
;"CONSELHO FUNDO MUNICIPAL DA CRIANCA E DO ADOLESCENTE";;;;;1.436.000,00;2.106.100,00;1.943.256,16;1.098.195,24;1.098.195,24;56,51
;;"DESPESAS CORRENTES";;;;1.432.300,00;2.087.400,00;1.932.776,04;1.087.715,12;1.087.715,12;56,28
