Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (E);Liquidado;Pago (P)
"DESPESAS CORRENTES";;;;562.568.100,00;562.568.100,00;1.241.027,24;0,00;0,00
;"PESSOAL E ENCARGOS SOCIAIS";;;354.395.400,00;354.395.400,00;0,00;0,00;0,00
;;"Aposentadorias  Reserva Remunerada e Reformas";;83.447.300,00;83.447.300,00;0,00;0,00;0,00
;;;"Aposentadorias  Reserva Remunerada e Reformas";83.447.300,00;83.447.300,00;0,00;0,00;0,00
;;"Pensoes";;11.247.900,00;11.247.900,00;0,00;0,00;0,00
;;;"Pensoes";11.247.900,00;11.247.900,00;0,00;0,00;0,00
;;"Contratacao por Tempo Determinado";;2.160.400,00;2.160.400,00;0,00;0,00;0,00
;;;"Contratacao por Tempo Determinado";2.160.400,00;2.160.400,00;0,00;0,00;0,00
;;"Outros Benefic.Previd.Servidor ou Milita";;5.000,00;5.000,00;0,00;0,00;0,00
;;;"Outros Benefic.Previd.Servidor ou Milita";5.000,00;5.000,00;0,00;0,00;0,00
;;"Outros Beneficios Assistenciais  3  I ";;18.500,00;18.500,00;0,00;0,00;0,00
;;;"Outros Beneficios Assistenciais  3  I ";18.500,00;18.500,00;0,00;0,00;0,00
;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;191.119.200,00;191.119.200,00;0,00;0,00;0,00
;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";191.119.200,00;191.119.200,00;0,00;0,00;0,00
;;"Obrigacoes Patronais";;52.614.100,00;52.614.100,00;0,00;0,00;0,00
;;;"Obrigacoes Patronais";10.496.200,00;10.496.200,00;0,00;0,00;0,00
;;;"Contribuicoes Patronais  19  I ";42.117.900,00;42.117.900,00;0,00;0,00;0,00
;;"Outras Despesas Variaveis   Pessoal Civil";;7.371.400,00;7.371.400,00;0,00;0,00;0,00
;;;"Outras Despesas Variaveis   Pessoal Civil";7.371.400,00;7.371.400,00;0,00;0,00;0,00
;;"Sentencas Judiciais";;5.906.000,00;5.906.000,00;0,00;0,00;0,00
;;;"Sentencas Judiciais";5.906.000,00;5.906.000,00;0,00;0,00;0,00
;;"Despesas de Exercicios Anteriores";;151.000,00;151.000,00;0,00;0,00;0,00
;;;"Despesas de Exercicios Anteriores";151.000,00;151.000,00;0,00;0,00;0,00
;;"Indenizacoes e Restituicoes Trabalhistas";;150.000,00;150.000,00;0,00;0,00;0,00
;;;"Indenizacoes e Restituicoes Trabalhistas";150.000,00;150.000,00;0,00;0,00;0,00
;;"Ressarcimento de Despesas de Pessoal Requisitado";;204.600,00;204.600,00;0,00;0,00;0,00
;;;"Ressarcimento de Despesas de Pessoal Requisitado";204.600,00;204.600,00;0,00;0,00;0,00
;"JUROS E ENCARGOS DA DIVIDA";;;2.569.000,00;2.569.000,00;0,00;0,00;0,00
;;"Juros sobre a Divida por Contrato";;2.108.000,00;2.108.000,00;0,00;0,00;0,00
;;;"Juros sobre a Divida por Contrato";2.108.000,00;2.108.000,00;0,00;0,00;0,00
;;"Outros Encargos sobre a Divida por Contrato";;5.000,00;5.000,00;0,00;0,00;0,00
;;;"Outros Encargos sobre a Divida por Contrato";5.000,00;5.000,00;0,00;0,00;0,00
;;"Encargos sobre Operacoes de Credito por Antecipacao da Receita";;456.000,00;456.000,00;0,00;0,00;0,00
;;;"Encargos sobre Operacoes de Credito por Antecipacao da Receita";456.000,00;456.000,00;0,00;0,00;0,00
;"OUTRAS DESPESAS CORRENTES";;;205.603.700,00;205.603.700,00;1.241.027,24;0,00;0,00
;;"Outros Beneficios Assistenciais";;100.000,00;100.000,00;0,00;0,00;0,00
;;;"Outros Beneficios Assistenciais";100.000,00;100.000,00;0,00;0,00;0,00
;;"Diarias   Civil";;371.900,00;371.900,00;0,00;0,00;0,00
;;;"Diarias   Civil";371.900,00;371.900,00;0,00;0,00;0,00
;;"Auxilio Fardamento";;16.000,00;16.000,00;0,00;0,00;0,00
;;;"Auxilio Fardamento";16.000,00;16.000,00;0,00;0,00;0,00
;;"Material de Consumo";;25.387.700,00;25.387.700,00;0,00;0,00;0,00
;;;"Material de Consumo";25.387.700,00;25.387.700,00;0,00;0,00;0,00
;;"Premiacoes Culturais  Artisticas  Cientificas  Desportivas e Outras  6  I ";;1.000,00;1.000,00;0,00;0,00;0,00
;;;"Premiacoes Culturais  Artisticas  Cientificas  Desportivas e Outras  6  I ";1.000,00;1.000,00;0,00;0,00;0,00
;;"Material de Distribuicao Gratuita";;3.743.200,00;3.743.200,00;0,00;0,00;0,00
;;;"Material de Distribuicao Gratuita";3.743.200,00;3.743.200,00;0,00;0,00;0,00
;;"Passagens e Despesas com Locomocao";;592.800,00;592.800,00;0,00;0,00;0,00
;;;"Passagens e Despesas com Locomocao";592.800,00;592.800,00;0,00;0,00;0,00
;;"Servicos de Consultoria";;4.162.300,00;4.162.300,00;0,00;0,00;0,00
;;;"Servicos de Consultoria";4.162.300,00;4.162.300,00;0,00;0,00;0,00
;;"Outros Servicos de Terceiros   Pessoa Fisica";;2.576.500,00;2.576.500,00;0,00;0,00;0,00
;;;"Outros Servicos de Terceiros   Pessoa Fisica";2.576.500,00;2.576.500,00;0,00;0,00;0,00
;;"Locacao de Mao de Obra";;4.053.300,00;4.053.300,00;0,00;0,00;0,00
;;;"Locacao de Mao de Obra";4.053.300,00;4.053.300,00;0,00;0,00;0,00
;;"Outros Servicos de Terceiros   Pessoa Juridica";;144.460.100,00;144.460.100,00;268.988,10;0,00;0,00
;;;"Outros Servicos de Terceiros   Pessoa Juridica";144.460.100,00;144.460.100,00;268.988,10;0,00;0,00
;;"Servicos de Tecnologia da Informacao e Comunicacao";;220.000,00;220.000,00;0,00;0,00;0,00
