Função;Subfunção;Programa;Projeto/Atividade/Operações Especiais;Ação;Dotação Inicial;Dotação Atualizada;Empenhado (E);Liquidado;Pago (P);P/E
"Administracao";;;;;61.717.500,00;61.717.500,00;0,00;0,00;0,00;0,00
;"Administracao Financeira";;;;586.300,00;586.300,00;0,00;0,00;0,00;0,00
;;"GESTAO DO SISTEMA DE CONTROLE INTERNO DO MUNICIPIO";;;586.300,00;586.300,00;0,00;0,00;0,00;0,00
;;;"ADMINISTRACAO ORCAMENTARIA  FINANCEIRA E CONTABIL DO MUNICIPIO";;586.300,00;586.300,00;0,00;0,00;0,00;0,00
;;;;"ADMINISTRACAO ORCAMENTARIA  FINANCEIRA E CONTABIL DO MUNICIPIO";586.300,00;586.300,00;0,00;0,00;0,00;0,00
;"Administracao Geral";;;;47.237.100,00;47.237.100,00;0,00;0,00;0,00;0,00
;;"APOIO ADMINISTRATIVO AS ACOES DA SECRETARIA DE ADMINISTRACAO";;;4.022.400,00;4.022.400,00;0,00;0,00;0,00;0,00
;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE ADMINISTRACAO";;4.022.400,00;4.022.400,00;0,00;0,00;0,00;0,00
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE ADMINISTRACAO";4.022.400,00;4.022.400,00;0,00;0,00;0,00;0,00
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DA DESENVOLVIMENTO ECONOMICO";;;1.910.500,00;1.910.500,00;0,00;0,00;0,00;0,00
;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";;1.910.500,00;1.910.500,00;0,00;0,00;0,00;0,00
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";1.910.500,00;1.910.500,00;0,00;0,00;0,00;0,00
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE EDUCACAO";;;3.000,00;3.000,00;0,00;0,00;0,00;0,00
;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE EDUCACAO";;3.000,00;3.000,00;0,00;0,00;0,00;0,00
;;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE EDUCACAO";3.000,00;3.000,00;0,00;0,00;0,00;0,00
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE FINANCAS";;;1.289.500,00;1.289.500,00;0,00;0,00;0,00;0,00
;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE FINANCAS";;1.289.500,00;1.289.500,00;0,00;0,00;0,00;0,00
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE FINANCAS";1.289.500,00;1.289.500,00;0,00;0,00;0,00;0,00
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE INFRAESTRUTURA";;;10.000,00;10.000,00;0,00;0,00;0,00;0,00
;;;"CONSERVACAO E QUALIFICACAO DE PREDIOS PUBLICOS";;10.000,00;10.000,00;0,00;0,00;0,00;0,00
;;;;"CONSERVACAO E QUALIFICACAO DE PREDIOS PUBLICOS";10.000,00;10.000,00;0,00;0,00;0,00;0,00
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE POLITICAS SOCIAIS  ESPORTES E JUVENTUDE";;;2.332.500,00;2.332.500,00;0,00;0,00;0,00;0,00
;;;"GESTAO ADMINISTRATIVA DAS ACOES DO FUNDO MUNICIPAL DE ASSISTENCIA DE POLITICAS SOCIAIS";;2.329.500,00;2.329.500,00;0,00;0,00;0,00;0,00
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DO FUNDO MUNICIPAL DE ASSISTENCIA DE POLITICAS SOCIAIS";2.329.500,00;2.329.500,00;0,00;0,00;0,00;0,00
;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS E PROGRAMAS";;3.000,00;3.000,00;0,00;0,00;0,00;0,00
;;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS E PROGRAMAS";3.000,00;3.000,00;0,00;0,00;0,00;0,00
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE TURISMO E CULTURA";;;1.000,00;1.000,00;0,00;0,00;0,00;0,00
;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";;1.000,00;1.000,00;0,00;0,00;0,00;0,00
;;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";1.000,00;1.000,00;0,00;0,00;0,00;0,00
;;"APOIO ADMINISTRATIVO AS ACOES DO GABINETE DO PREFEITO";;;1.180.800,00;1.180.800,00;0,00;0,00;0,00;0,00
;;;"GESTAO ADMINISTRATIVA DAS ACOES DO GABINETE DO PREFEITO E RELACOES INSTITUCIONAIS";;1.180.800,00;1.180.800,00;0,00;0,00;0,00;0,00
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DO GABINETE DO PREFEITO E RELACOES INSTITUCIONAIS";1.180.800,00;1.180.800,00;0,00;0,00;0,00;0,00
;;"ASSESSORAMENTO SUPERIOR AO CHEFE DO EXECUTIVO MUNICIPAL";;;782.700,00;782.700,00;0,00;0,00;0,00;0,00
;;;"ACAO DE ASSESSORAMENTO AO PREFEITO";;19.000,00;19.000,00;0,00;0,00;0,00;0,00
;;;;"ACAO DE ASSESSORAMENTO AO PREFEITO";19.000,00;19.000,00;0,00;0,00;0,00;0,00
;;;"GESTAO ADMINISTRATIVA DAS ACOES DO GABINETE DO VICE PREFEITO";;763.700,00;763.700,00;0,00;0,00;0,00;0,00
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DO GABINETE DO VICE PREFEITO";763.700,00;763.700,00;0,00;0,00;0,00;0,00
;;"COORDENACAO DAS RELACOES PUBLICAS DO EXECUTUVO MUNICIPAL";;;47.000,00;47.000,00;0,00;0,00;0,00;0,00
;;;"ARTICULACAO DAS RELACOES POLITICAS DO PREFEITO";;47.000,00;47.000,00;0,00;0,00;0,00;0,00
;;;;"ARTICULACAO DAS RELACOES POLITICAS DO PREFEITO";47.000,00;47.000,00;0,00;0,00;0,00;0,00
;;"GESTAO DA POLITICA DAS FINANCAS DO MUNICIPIO";;;1.013.800,00;1.013.800,00;0,00;0,00;0,00;0,00
;;;"SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE FINANCAS";;1.013.800,00;1.013.800,00;0,00;0,00;0,00;0,00
;;;;"SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE FINANCAS";1.013.800,00;1.013.800,00;0,00;0,00;0,00;0,00
;;"GESTAO DA POLITICA DE DESENVOLVIMENTO ECONOMICO DO MUNICIPIO";;;1.591.300,00;1.591.300,00;0,00;0,00;0,00;0,00
;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";;1.591.300,00;1.591.300,00;0,00;0,00;0,00;0,00
;;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";1.591.300,00;1.591.300,00;0,00;0,00;0,00;0,00
;;"GESTAO DAS ACOES ADMINISTRATIVAS NO MUNICIPIO";;;1.200.600,00;1.200.600,00;0,00;0,00;0,00;0,00
;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE ADMINISTRACAO.";;1.200.600,00;1.200.600,00;0,00;0,00;0,00;0,00
;;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE ADMINISTRACAO.";1.200.600,00;1.200.600,00;0,00;0,00;0,00;0,00
;;"GESTAO DAS ACOES DAS ADMINISTRACOES REGIONAIS";;;1.472.500,00;1.472.500,00;0,00;0,00;0,00;0,00
;;;"APOIO AS ADMINISTRACOES REGIONAIS DO MUNICIPIO";;1.445.500,00;1.445.500,00;0,00;0,00;0,00;0,00
;;;;"APOIO AS ADMINISTRACOES REGIONAIS DO MUNICIPIO";1.445.500,00;1.445.500,00;0,00;0,00;0,00;0,00
;;;"SUPERVISAO E COORDENACAO DAS ACOES DA COORDENADORIA DAS ADMINISTRACOES DAS REGIONAIS";;27.000,00;27.000,00;0,00;0,00;0,00;0,00
;;;;"SUPERVISAO E COORDENACAO DAS ACOES DA COORDENADORIA DAS ADMINISTRACOES DAS REGIONAIS";27.000,00;27.000,00;0,00;0,00;0,00;0,00
;;"GESTAO DOS PROCESSOS ADMINISTRATIVOS DO MUNICIPIO";;;2.390.500,00;2.390.500,00;0,00;0,00;0,00;0,00
;;;"ADMINISTRACAO DE PESSOAL";;1.672.000,00;1.672.000,00;0,00;0,00;0,00;0,00
;;;;"ADMINISTRACAO DE PESSOAL";1.672.000,00;1.672.000,00;0,00;0,00;0,00;0,00
;;;"ADMINISTRACAO E CONTROLE DO PATRIMONIO DO MUNICIPIO";;383.300,00;383.300,00;0,00;0,00;0,00;0,00
;;;;"ADMINISTRACAO E CONTROLE DO PATRIMONIO DO MUNICIPIO";383.300,00;383.300,00;0,00;0,00;0,00;0,00
;;;"GESTAO DOS PROCESSOS DE COMPRAS E SUPRIMENTOS";;335.200,00;335.200,00;0,00;0,00;0,00;0,00
;;;;"GESTAO DOS PROCESSOS DE COMPRAS E SUPRIMENTOS";335.200,00;335.200,00;0,00;0,00;0,00;0,00
;;"GESTAO SUPERIOR DA ADMINISTRACAO MUNICIPAL";;;3.806.000,00;3.806.000,00;0,00;0,00;0,00;0,00
;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DO GABINETE DO PREFEITO E RELACOES INSTITUCIONAIS";;3.800.000,00;3.800.000,00;0,00;0,00;0,00;0,00
;;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DO GABINETE DO PREFEITO E RELACOES INSTITUCIONAIS";3.800.000,00;3.800.000,00;0,00;0,00;0,00;0,00
;;;"SERVICO DE PROTOCOLO DO GABINETE DO PREFEITO";;6.000,00;6.000,00;0,00;0,00;0,00;0,00
;;;;"SERVICO DE PROTOCOLO DO GABINETE DO PREFEITO";6.000,00;6.000,00;0,00;0,00;0,00;0,00
;;"MELHORIA DOS PREDIOS PUBLICOS";;;24.178.000,00;24.178.000,00;0,00;0,00;0,00;0,00
;;;"CONSERVACAO DE PREDIOS DA ADMINISTRACAO PUBLICA MUNIICIPAL";;176.000,00;176.000,00;0,00;0,00;0,00;0,00
;;;;"CONSERVACAO DE PREDIOS DA ADMINISTRACAO PUBLICA MUNIICIPAL";176.000,00;176.000,00;0,00;0,00;0,00;0,00
;;;"CONSTRUCAO E REFORMA DE PREDIOS DA ADMINISTRACAO PUBLICA";;24.002.000,00;24.002.000,00;0,00;0,00;0,00;0,00
;;;;"CONSTRUCAO E REFORMA DE PREDIOS DA ADMINISTRACAO PUBLICA";24.002.000,00;24.002.000,00;0,00;0,00;0,00;0,00
;;"PLANEJAMENTO DA POLITICA DE ACAO DE SAUDE DO MUNICIPIO";;;5.000,00;5.000,00;0,00;0,00;0,00;0,00
;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE SAUDE";;5.000,00;5.000,00;0,00;0,00;0,00;0,00
;;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE SAUDE";5.000,00;5.000,00;0,00;0,00;0,00;0,00
;"Comunicacao Social";;;;884.600,00;884.600,00;0,00;0,00;0,00;0,00
;;"GESTAO SUPERIOR DA ADMINISTRACAO MUNICIPAL";;;884.600,00;884.600,00;0,00;0,00;0,00;0,00
;;;"COMUNICACAO SOCIAL E DIVULGACAO OFICIAL DOS ATOS GOVERNAMENTAIS";;884.600,00;884.600,00;0,00;0,00;0,00;0,00
;;;;"COMUNICACAO SOCIAL E DIVULGACAO OFICIAL DOS ATOS GOVERNAMENTAIS";884.600,00;884.600,00;0,00;0,00;0,00;0,00
;"Controle Interno";;;;513.300,00;513.300,00;0,00;0,00;0,00;0,00
;;"GESTAO DAS ACOES DA CONTROLADORIA GERAL E OUVIDORIA";;;505.300,00;505.300,00;0,00;0,00;0,00;0,00
;;;"GESTAO DAS ACOES DE CONTROLADORIA";;505.300,00;505.300,00;0,00;0,00;0,00;0,00
;;;;"GESTAO DAS ACOES DE CONTROLADORIA";505.300,00;505.300,00;0,00;0,00;0,00;0,00
;;"GESTAO DO SISTEMA DE CONTROLE INTERNO DO MUNICIPIO";;;8.000,00;8.000,00;0,00;0,00;0,00;0,00
;;;"MODERNIZACAO DO SISTEMA FINANCEIRO E CONTABIL DO MUNICIPIO";;8.000,00;8.000,00;0,00;0,00;0,00;0,00
;;;;"MODERNIZACAO DO SISTEMA FINANCEIRO E CONTABIL DO MUNICIPIO";8.000,00;8.000,00;0,00;0,00;0,00;0,00
;"Formacao de Recursos Humanos";;;;21.000,00;21.000,00;0,00;0,00;0,00;0,00
;;"GESTAO DOS PROCESSOS ADMINISTRATIVOS DO MUNICIPIO";;;21.000,00;21.000,00;0,00;0,00;0,00;0,00
;;;"CAPACITACAO DE RECURSOS HUMANOS PARA OS ORGAOS MUNICIPAIS";;21.000,00;21.000,00;0,00;0,00;0,00;0,00
;;;;"CAPACITACAO DE RECURSOS HUMANOS PARA OS ORGAOS MUNICIPAIS";21.000,00;21.000,00;0,00;0,00;0,00;0,00
;"Normatizacao e Fiscalizacao";;;;10.705.500,00;10.705.500,00;0,00;0,00;0,00;0,00
;;"GESTAO DO SISTEMA TRIBUTARIO DO MUNICIPIO";;;10.325.500,00;10.325.500,00;0,00;0,00;0,00;0,00
;;;"ADMINISTRACAO TRIBUTARIA DO MUNICIPIO";;10.325.500,00;10.325.500,00;0,00;0,00;0,00;0,00
;;;;"ADMINISTRACAO TRIBUTARIA DO MUNICIPIO";10.325.500,00;10.325.500,00;0,00;0,00;0,00;0,00
;;"OTIMIZACAO DAS FEIRAS E MERCADOS PUBLICOS";;;380.000,00;380.000,00;0,00;0,00;0,00;0,00
;;;"MANUTENCAO E ORDENAMENTO DE FEIRAS E MERCADOS PUBLICOS";;380.000,00;380.000,00;0,00;0,00;0,00;0,00
;;;;"MANUTENCAO E ORDENAMENTO DE FEIRAS E MERCADOS PUBLICOS";380.000,00;380.000,00;0,00;0,00;0,00;0,00
;"Planejamento e Orcamento";;;;928.900,00;928.900,00;0,00;0,00;0,00;0,00
;;"FORTALECIMENTO DAS ACOES DE PLANEJAMENTO ESTRATEGICO";;;928.900,00;928.900,00;0,00;0,00;0,00;0,00
;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DA CONTROLADORIA  PLANEJAMENTO E GESTAO";;815.400,00;815.400,00;0,00;0,00;0,00;0,00
;;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DA CONTROLADORIA  PLANEJAMENTO E GESTAO";815.400,00;815.400,00;0,00;0,00;0,00;0,00
;;;"ELABORACAO E GESTAO DOS INSTRUMENTOS DE PLANEJAMENTO DO MUNICIPIO";;113.500,00;113.500,00;0,00;0,00;0,00;0,00
;;;;"ELABORACAO E GESTAO DOS INSTRUMENTOS DE PLANEJAMENTO DO MUNICIPIO";113.500,00;113.500,00;0,00;0,00;0,00;0,00
;"Tecnologia da Informatizacao";;;;802.700,00;802.700,00;0,00;0,00;0,00;0,00
;;"GESTAO DOS PROCESSOS ADMINISTRATIVOS DO MUNICIPIO";;;802.700,00;802.700,00;0,00;0,00;0,00;0,00
;;;"GESTAO DA POLITICA DE INFORMATICA MUNICIPAL";;802.700,00;802.700,00;0,00;0,00;0,00;0,00
;;;;"GESTAO DA POLITICA DE INFORMATICA MUNICIPAL";802.700,00;802.700,00;0,00;0,00;0,00;0,00
;"Turismo";;;;38.100,00;38.100,00;0,00;0,00;0,00;0,00
;;"PROMOCAO DO TURISMO DO MUNICIPIO";;;38.100,00;38.100,00;0,00;0,00;0,00;0,00
;;;"ACOES DE FOMENTO AO TURISMO";;38.100,00;38.100,00;0,00;0,00;0,00;0,00
;;;;"ACOES DE FOMENTO AO TURISMO";38.100,00;38.100,00;0,00;0,00;0,00;0,00
"Agricultura";;;;;45.000,00;45.000,00;0,00;0,00;0,00;0,00
;"Abastecimento";;;;20.000,00;20.000,00;0,00;0,00;0,00;0,00
;;"DESENVOLVIMENTO DA PESCA NO MUNICIPIO";;;20.000,00;20.000,00;0,00;0,00;0,00;0,00
