Função;Subfunção;Programa;Projeto/Atividade/Operações Especiais;Ação;Dotação Inicial;Dotação Atualizada;Empenhado (E);Liquidado;Pago (P);P/E
"Administracao";;;;;68.835.800,00;60.503.270,00;56.639.764,01;56.075.903,58;52.826.328,38;93,27
;"Administracao Financeira";;;;298.000,00;371.780,00;366.951,46;366.951,46;366.885,06;99,98
;;"GESTAO DO SISTEMA DE CONTROLE INTERNO DO MUNICIPIO";;;298.000,00;371.780,00;366.951,46;366.951,46;366.885,06;99,98
;;;"ADMINISTRACAO ORCAMENTARIA  FINANCEIRA E CONTABIL DO MUNICIPIO";;298.000,00;371.780,00;366.951,46;366.951,46;366.885,06;99,98
;;;;"ADMINISTRACAO ORCAMENTARIA  FINANCEIRA E CONTABIL DO MUNICIPIO";298.000,00;371.780,00;366.951,46;366.951,46;366.885,06;99,98
;"Administracao Geral";;;;56.856.900,00;48.528.200,00;47.589.165,10;47.153.807,63;44.634.895,16;93,79
;;"APOIO ADMINISTRATIVO AS ACOES DA SECRETARIA DE ASSUNTOS JURIDICOS E PROCURADORIA GERAL";;;816.800,00;574.220,00;554.554,04;554.554,04;513.973,41;92,68
;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE ASSUNTOS JURIDICOS";;816.800,00;574.220,00;554.554,04;554.554,04;513.973,41;92,68
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE ASSUNTOS JURIDICOS";816.800,00;574.220,00;554.554,04;554.554,04;513.973,41;92,68
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DA DESENVOLVIMENTO ECONOMICO";;;769.600,00;675.160,00;675.031,97;662.902,24;579.831,37;85,90
;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";;769.600,00;675.160,00;675.031,97;662.902,24;579.831,37;85,90
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";769.600,00;675.160,00;675.031,97;662.902,24;579.831,37;85,90
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE ADMINISTRACAO";;;2.720.500,00;2.927.040,00;2.925.996,33;2.734.773,75;2.403.652,59;82,15
;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE ADMINISTRACAO";;2.720.500,00;2.927.040,00;2.925.996,33;2.734.773,75;2.403.652,59;82,15
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE ADMINISTRACAO";2.720.500,00;2.927.040,00;2.925.996,33;2.734.773,75;2.403.652,59;82,15
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE EDUCACAO";;;28.000,00;213.000,00;191.222,48;191.222,48;191.222,48;100,00
;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE EDUCACAO";;28.000,00;213.000,00;191.222,48;191.222,48;191.222,48;100,00
;;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE EDUCACAO";28.000,00;213.000,00;191.222,48;191.222,48;191.222,48;100,00
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE FINANCAS";;;954.700,00;704.310,00;701.689,10;695.416,86;621.850,56;88,62
;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE FINANCAS";;954.700,00;704.310,00;701.689,10;695.416,86;621.850,56;88,62
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE FINANCAS";954.700,00;704.310,00;701.689,10;695.416,86;621.850,56;88,62
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE POLITICAS SOCIAIS  ESPORTES E JUVENTUDE";;;914.400,00;1.250.450,00;1.240.050,31;1.240.050,31;1.118.040,81;90,16
;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE POLITICAS SOCIAIS E ESPORTES";;912.400,00;1.247.170,00;1.237.772,71;1.237.772,71;1.115.763,21;90,14
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE POLITICAS SOCIAIS E ESPORTES";912.400,00;1.247.170,00;1.237.772,71;1.237.772,71;1.115.763,21;90,14
;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS E PROGRAMAS";;2.000,00;3.280,00;2.277,60;2.277,60;2.277,60;100,00
;;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS E PROGRAMAS";2.000,00;3.280,00;2.277,60;2.277,60;2.277,60;100,00
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE TURISMO E CULTURA";;;500,00;0,00;0,00;0,00;0,00;0,00
;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";;500,00;0,00;0,00;0,00;0,00;0,00
;;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";500,00;0,00;0,00;0,00;0,00;0,00
;;"APOIO ADMINISTRATIVO AS ACOES DO GABINETE DO PREFEITO";;;2.472.100,00;1.092.970,00;1.089.312,66;1.067.956,85;910.880,86;83,62
;;;"GESTAO ADMINISTRATIVA DAS ACOES DO GABINETE DO PREFEITO E RELACOES INSTITUCIONAIS";;2.472.100,00;1.092.970,00;1.089.312,66;1.067.956,85;910.880,86;83,62
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DO GABINETE DO PREFEITO E RELACOES INSTITUCIONAIS";2.472.100,00;1.092.970,00;1.089.312,66;1.067.956,85;910.880,86;83,62
;;"ASSESSORAMENTO SUPERIOR AO CHEFE DO EXECUTIVO MUNICIPAL";;;806.700,00;824.730,00;820.717,54;820.480,74;755.128,01;92,01
;;;"ACAO DE ASSESSORAMENTO AO PREFEITO";;50.000,00;4.000,00;0,00;0,00;0,00;0,00
;;;;"ACAO DE ASSESSORAMENTO AO PREFEITO";50.000,00;4.000,00;0,00;0,00;0,00;0,00
;;;"GESTAO ADMINISTRATIVA DAS ACOES DO GABINETE DO VICE PREFEITO";;756.700,00;820.730,00;820.717,54;820.480,74;755.128,01;92,01
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DO GABINETE DO VICE PREFEITO";756.700,00;820.730,00;820.717,54;820.480,74;755.128,01;92,01
;;"COORDENACAO DAS RELACOES PUBLICAS DO EXECUTUVO MUNICIPAL";;;3.288.800,00;255.930,00;251.423,19;251.423,19;235.423,19;93,64
;;;"ARTICULACAO DAS RELACOES POLITICAS DO PREFEITO";;3.288.800,00;255.930,00;251.423,19;251.423,19;235.423,19;93,64
;;;;"ARTICULACAO DAS RELACOES POLITICAS DO PREFEITO";3.288.800,00;255.930,00;251.423,19;251.423,19;235.423,19;93,64
;;"ENCARGOS ADMINISTRATIVOS DO MUNICIPIO";;;29.946.100,00;28.576.190,00;28.573.419,38;28.472.465,90;27.926.624,17;97,74
;;;"APOIO A ORGAOS GOVERNAMENTAIS";;21.300,00;3.050,00;2.926,00;2.563,76;1.100,76;37,62
;;;;"APOIO A ORGAOS GOVERNAMENTAIS";21.300,00;3.050,00;2.926,00;2.563,76;1.100,76;37,62
;;;"AUXILIO TRANSPORTE PARA OS SERVIDORES";;3.796.300,00;2.995.610,00;2.993.102,68;2.993.102,68;2.771.807,51;92,61
;;;;"AUXILIO TRANSPORTE PARA OS SERVIDORES";3.796.300,00;2.995.610,00;2.993.102,68;2.993.102,68;2.771.807,51;92,61
;;;"CONTRIBUICAO ADICIONAL DA PREFEITURA AO PREVI PAULISTA";;20.035.000,00;19.965.000,00;19.965.000,00;19.912.292,66;19.912.292,56;99,74
;;;;"CONTRIBUICAO ADICIONAL DA PREFEITURA AO PREVI PAULISTA";20.035.000,00;19.965.000,00;19.965.000,00;19.912.292,66;19.912.292,56;99,74
;;;"DIVERSOS ENCARGOS ADMINISTRATIVOS";;644.600,00;1.098.360,00;1.098.236,46;1.050.352,56;1.050.352,56;95,64
;;;;"DIVERSOS ENCARGOS ADMINISTRATIVOS";644.600,00;1.098.360,00;1.098.236,46;1.050.352,56;1.050.352,56;95,64
;;;"ENCARGOS COM PESSOAL A DISPOSICAO DE DIVERSOS ORGAOS";;5.448.900,00;4.514.170,00;4.514.154,24;4.514.154,24;4.191.070,78;92,84
;;;;"ENCARGOS COM PESSOAL A DISPOSICAO DE DIVERSOS ORGAOS";5.448.900,00;4.514.170,00;4.514.154,24;4.514.154,24;4.191.070,78;92,84
;;"GESTAO DA POLITICA DAS FINANCAS DO MUNICIPIO";;;885.900,00;612.750,00;609.721,36;609.721,36;567.290,36;93,04
;;;"SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE FINANCAS";;885.900,00;612.750,00;609.721,36;609.721,36;567.290,36;93,04
