Função;Subfunção;Programa;Projeto/Atividade/Operações Especiais;Ação;Dotação Inicial;Dotação Atualizada;Empenhado (E);Liquidado;Pago (P);P/E
"Administracao";;;;;61.512.900,00;38.719.587,57;33.403.881,84;33.171.863,67;30.712.174,41;91,94
;"Administracao Financeira";;;;361.400,00;490.100,00;469.282,51;469.281,51;469.281,51;100,00
;;"GESTAO DO SISTEMA DE CONTROLE INTERNO DO MUNICIPIO";;;361.400,00;490.100,00;469.282,51;469.281,51;469.281,51;100,00
;;;"ADMINISTRACAO ORCAMENTARIA  FINANCEIRA E CONTABIL DO MUNICIPIO";;361.400,00;490.100,00;469.282,51;469.281,51;469.281,51;100,00
;;;;"ADMINISTRACAO ORCAMENTARIA  FINANCEIRA E CONTABIL DO MUNICIPIO";361.400,00;490.100,00;469.282,51;469.281,51;469.281,51;100,00
;"Administracao Geral";;;;46.235.000,00;25.935.024,57;20.694.362,12;20.512.650,07;19.019.024,58;91,90
;;"APOIO ADMINISTRATIVO AS ACOES DA SECRETARIA DE ADMINISTRACAO";;;3.314.100,00;3.772.465,00;3.772.020,92;3.728.471,07;3.405.202,62;90,28
;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE ADMINISTRACAO";;3.314.100,00;3.772.465,00;3.772.020,92;3.728.471,07;3.405.202,62;90,28
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE ADMINISTRACAO";3.314.100,00;3.772.465,00;3.772.020,92;3.728.471,07;3.405.202,62;90,28
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DA DESENVOLVIMENTO ECONOMICO";;;1.182.000,00;1.202.720,00;1.202.702,01;1.202.702,01;1.097.415,06;91,25
;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";;1.182.000,00;1.202.720,00;1.202.702,01;1.202.702,01;1.097.415,06;91,25
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";1.182.000,00;1.202.720,00;1.202.702,01;1.202.702,01;1.097.415,06;91,25
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE EDUCACAO";;;3.000,00;1.731.631,57;1.731.623,97;1.731.623,97;1.731.623,97;100,00
;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE EDUCACAO";;3.000,00;1.731.631,57;1.731.623,97;1.731.623,97;1.731.623,97;100,00
;;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE EDUCACAO";3.000,00;1.731.631,57;1.731.623,97;1.731.623,97;1.731.623,97;100,00
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE FINANCAS";;;807.000,00;847.990,00;847.230,92;847.230,92;773.118,93;91,25
;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE FINANCAS";;807.000,00;847.990,00;847.230,92;847.230,92;773.118,93;91,25
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE FINANCAS";807.000,00;847.990,00;847.230,92;847.230,92;773.118,93;91,25
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE INFRAESTRUTURA";;;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;"CONSERVACAO E QUALIFICACAO DE PREDIOS PUBLICOS";;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"CONSERVACAO E QUALIFICACAO DE PREDIOS PUBLICOS";10.000,00;0,00;0,00;0,00;0,00;0,00
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE POLITICAS SOCIAIS  ESPORTES E JUVENTUDE";;;1.684.000,00;2.019.760,00;2.001.158,42;2.001.158,42;1.836.330,40;91,76
;;;"GESTAO ADMINISTRATIVA DAS ACOES DO FUNDO MUNICIPAL DE ASSISTENCIA DE POLITICAS SOCIAIS";;1.682.000,00;1.922.810,00;1.922.787,66;1.922.787,66;1.757.959,64;91,43
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DO FUNDO MUNICIPAL DE ASSISTENCIA DE POLITICAS SOCIAIS";1.682.000,00;1.922.810,00;1.922.787,66;1.922.787,66;1.757.959,64;91,43
;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS E PROGRAMAS";;2.000,00;96.950,00;78.370,76;78.370,76;78.370,76;100,00
;;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS E PROGRAMAS";2.000,00;96.950,00;78.370,76;78.370,76;78.370,76;100,00
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE TURISMO E CULTURA";;;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";1.000,00;0,00;0,00;0,00;0,00;0,00
;;"APOIO ADMINISTRATIVO AS ACOES DO GABINETE DO PREFEITO";;;1.574.200,00;1.228.484,00;1.228.465,65;1.228.465,65;1.140.679,35;92,85
;;;"GESTAO ADMINISTRATIVA DAS ACOES DO GABINETE DO PREFEITO E RELACOES INSTITUCIONAIS";;1.574.200,00;1.228.484,00;1.228.465,65;1.228.465,65;1.140.679,35;92,85
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DO GABINETE DO PREFEITO E RELACOES INSTITUCIONAIS";1.574.200,00;1.228.484,00;1.228.465,65;1.228.465,65;1.140.679,35;92,85
;;"ASSESSORAMENTO SUPERIOR AO CHEFE DO EXECUTIVO MUNICIPAL";;;1.114.000,00;727.610,00;727.603,49;727.603,49;670.969,41;92,22
;;;"ACAO DE ASSESSORAMENTO AO PREFEITO";;19.000,00;790,00;790,00;790,00;790,00;100,00
;;;;"ACAO DE ASSESSORAMENTO AO PREFEITO";19.000,00;790,00;790,00;790,00;790,00;100,00
;;;"GESTAO ADMINISTRATIVA DAS ACOES DO GABINETE DO VICE PREFEITO";;1.095.000,00;726.820,00;726.813,49;726.813,49;670.179,41;92,21
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DO GABINETE DO VICE PREFEITO";1.095.000,00;726.820,00;726.813,49;726.813,49;670.179,41;92,21
;;"COORDENACAO DAS RELACOES PUBLICAS DO EXECUTUVO MUNICIPAL";;;169.900,00;121.116,00;121.110,00;121.110,00;118.590,00;97,92
;;;"ARTICULACAO DAS RELACOES POLITICAS DO PREFEITO";;169.900,00;121.116,00;121.110,00;121.110,00;118.590,00;97,92
